experiment_family,scenario_name,condition_name,persona_name,agent_persona_name,chat_atmosphere,report_1_polarity,report_2_polarity,repeat_index,timestep,event_id,actor_id,action_type,success,error_message,reply_to,hyperedge_id,visible_hyperedge_ids,activation_score,signal_polarity,content,final_choice,credible_choice,share_choice,comment_choice,like_choice,reason,reason_signal,nsb,cb,sb,eb,nci_comp,scm,gcr,ssa,is_stop_step,stop_reason,raw_response
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,1,t1_e5,agent_047,post,True,,,t1_e5,seed_1|seed_2|seed_3|seed_4,0.5037024918303132,negative,我先占个楼，恢复慢和复诊这些具体提醒还是值得继续看。,negative,negative,negative,support_negative,negative,我的进入讨论前状态接近观望，seed 中恢复慢、复诊或照护压力这些线索让我保留轻度风险意识。,,1,1,1,1,4,,0.6,0.1999999999999999,False,,"{""planned_action"":""post_comment"",""public_comment"":""看到很多家长反馈常规处理后恢复平稳，但个别恢复慢和反复的情况也需要留意，感觉两边都有道理。"",""reply_target"":"""",""final_choice"":""neutral"",""credible_choice"":""neutral"",""share_choice"":""none"",""comment_choice"":""neutral"",""like_choice"":""none"",""reason"":""报道1中的医生和家长反馈和报道2中的网络个案都有具体线索，且都提到地区差异，目前难以判断哪一边更有代表性。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,1,t1_e6,agent_028,post,True,,,t1_e6,seed_1|seed_2|seed_3|seed_4,0.5027860075440225,positive,更让我安心的是报道1和seed评论中提到的恢复较快线索更具体，且多数案例支持这种判断。,positive,positive,positive,support_positive,positive,报道1和seed评论中提到的恢复较快线索更具体，且多数案例支持这种判断。,,0,0,0,0,0,,0.5,0.0,False,,"{""planned_action"":""post_comment"",""public_comment"":""看到有家长说恢复节奏不一，确实需要多观察几天，不过多数还是按常规处理。"",""reply_target"":"""",""final_choice"":""report_1"",""credible_choice"":""report_1"",""share_choice"":""report_1"",""comment_choice"":""support_report_1"",""like_choice"":""report_1"",""reason"":""报道1和seed评论中提到的恢复较快线索更具体，且多数案例支持这种判断。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,1,t1_e7,agent_011,post,True,,,t1_e7,seed_1|seed_2|seed_3|seed_4,0.5012450892850862,negative,我先占个楼，恢复慢和复诊这些具体提醒还是值得继续看。,negative,negative,negative,support_negative,negative,我的进入讨论前状态接近观望，seed 中恢复慢、复诊或照护压力这些线索让我保留轻度风险意识。,,1,1,1,1,4,,0.5714285714285714,0.1428571428571428,False,,"{""planned_action"":""post_comment"",""public_comment"":""看到有人提到恢复节奏不一，确实门诊压力和恢复速度在不同地区差异挺大的。"",""reply_target"":"""",""final_choice"":""report_1"",""credible_choice"":""report_1"",""share_choice"":""report_1"",""comment_choice"":""support_report_1"",""like_choice"":""report_1"",""reason"":""报道1中提到的常规处理和恢复平稳的线索更具体，而且多数家长反馈的恢复情况比较一致。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,1,t1_e8,agent_023,post,True,,,t1_e8,seed_1|seed_2|seed_3|seed_4,0.4999499713541824,positive,我先占个楼，按目前看到的材料，我还会把它理解成需要观察但总体可处理。,positive,neutral,none,support_positive,positive,我的进入讨论前状态还没有明显偏向风险，正式应对、规范治疗和多数恢复线索仍然能支撑轻度可控判断。,,0,0,0,0,0,,0.5,0.0,False,,"{""planned_action"":""post_comment"",""public_comment"":""看到不少家长提到恢复节奏不一和个别反复情况，这让我觉得报道2中的风险线索更具体一些。"",""reply_target"":"""",""final_choice"":""report_2"",""credible_choice"":""report_2"",""share_choice"":""report_2"",""comment_choice"":""support_report_2"",""like_choice"":""report_2"",""reason"":""报道2中提到的'高热反复、恢复时间拖长'和'刚好转又反复'的具体经历，以及seed_4中'个别恢复慢或反复不舒服的情况值得留意'的评论，这些具体风险线索比报道1中相对笼统的'季节性波动中的可应对上升'更打动我。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,1,t1_e9,agent_051,post,True,,,t1_e9,seed_1|seed_2|seed_3|seed_4,0.4997185761154905,negative,我更担心的是现实里的压力累积，不只是表面上的平稳。,negative,negative,negative,support_negative,negative,报道2中关于恢复时间拖长、高热反复和班级交叉感染的具体描述比报道1的'几天内明显缓解'更具体，seed_4也提到个别恢复慢的情况值得留意。,,1,1,1,1,4,,0.5555555555555556,0.1111111111111111,False,,"{""planned_action"":""post_comment"",""public_comment"":""看到有家长提到孩子退热后恢复节奏不一样，需要多观察几天，这比单纯说'多数恢复平稳'更具体。"",""reply_target"":"""",""final_choice"":""report_2"",""credible_choice"":""report_2"",""share_choice"":""report_2"",""comment_choice"":""support_report_2"",""like_choice"":""report_2"",""reason"":""报道2中关于恢复时间拖长、高热反复和班级交叉感染的具体描述比报道1的'几天内明显缓解'更具体，seed_4也提到个别恢复慢的情况值得留意。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,2,t2_e1,agent_052,post,True,,,t2_e1,t1_e10|t1_e12|t1_e13|t1_e15|t1_e9,0.546633371848062,positive,看到有人提到门诊压力，但报道1里医院和学校的应对措施确实更具体，让我觉得当前情况更像可控制的季节性波动。,positive,positive,positive,support_positive,positive,我主要是被报道1中提到的具体应对措施和恢复路径说服，这些线索比报道2中的零散个案更系统。,,0,0,0,0,0,,1.0,-1.0,False,,"{""planned_action"":""post_comment"",""public_comment"":""看到有人提到门诊压力，但报道1里医院和学校的应对措施确实更具体，让我觉得当前情况更像可控制的季节性波动。"",""reply_target"":"""",""final_choice"":""report_1"",""credible_choice"":""report_1"",""share_choice"":""report_1"",""comment_choice"":""support_report_1"",""like_choice"":""report_1"",""reason"":""我主要是被报道1中提到的具体应对措施和恢复路径说服，这些线索比报道2中的零散个案更系统。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,2,t2_e10,agent_004,reply,True,,t1_e13,t1_e13,t1_e10|t1_e12|t1_e13|t1_e15|t1_e9,0.5386608283745268,positive,我注意到报道1中恢复较快的信息更具体，而报道2中恢复拖长的多是零散个案，暂时认为更可能是季节性波动。,positive,positive,positive,support_positive,positive,报道1中的恢复较快信息更具体，而报道2中的恢复拖长多为零散个案，代表性不足。,,0,0,0,0,0,,0.5,0.0,False,,"{""planned_action"":""post_comment"",""public_comment"":""我注意到报道1中恢复较快的信息更具体，而报道2中恢复拖长的多是零散个案，暂时认为更可能是季节性波动。"",""reply_target"":"""",""final_choice"":""report_1"",""credible_choice"":""report_1"",""share_choice"":""report_1"",""comment_choice"":""support_report_1"",""like_choice"":""report_1"",""reason"":""报道1中的恢复较快信息更具体，而报道2中的恢复拖长多为零散个案，代表性不足。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,2,t2_e11,agent_036,post,True,,,t2_e11,t1_e10|t1_e12|t1_e13|t1_e15|t1_e9,0.5383978511292018,negative,我更担心的是现实里的压力累积，不只是表面上的平稳。,negative,negative,none,support_negative,none,报道2中提到的恢复时间拖长、'刚好转又反复'的具体经历比报道1的常规治疗描述更让我担心。,,1,1,0,1,2,,0.5555555555555556,0.1111111111111111,False,,"{""planned_action"":""post_comment"",""public_comment"":""看到有人说恢复慢和复诊，这些具体提醒确实值得继续观察。"",""reply_target"":"""",""final_choice"":""report_2"",""credible_choice"":""report_2"",""share_choice"":""none"",""comment_choice"":""support_report_2"",""like_choice"":""none"",""reason"":""报道2中提到的恢复时间拖长、'刚好转又反复'的具体经历比报道1的常规治疗描述更让我担心。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,2,t2_e12,agent_007,reply,True,,t1_e9,t1_e9,t1_e10|t1_e12|t1_e13|t1_e15|t1_e9,0.5383081408296965,negative,我注意到前面有人提到恢复节奏不一的问题，确实报道2里反复高热、恢复拖长的具体个案也值得关注。,negative,negative,none,support_negative,negative,报道2中关于恢复慢、反复高热和家庭交叉感染的具体个案虽然零散，但在当前讨论中显得更具体。,,1,1,0,1,3,,0.6,0.1999999999999999,False,,"{""planned_action"":""reply"",""public_comment"":""我注意到前面有人提到恢复节奏不一的问题，确实报道2里反复高热、恢复拖长的具体个案也值得关注。"",""reply_target"":""t1_e9"",""final_choice"":""report_2"",""credible_choice"":""report_2"",""share_choice"":""none"",""comment_choice"":""support_report_2"",""like_choice"":""report_2"",""reason"":""报道2中关于恢复慢、反复高热和家庭交叉感染的具体个案虽然零散，但在当前讨论中显得更具体。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,2,t2_e13,agent_010,post,True,,,t2_e13,t1_e10|t1_e12|t1_e13|t1_e15|t1_e9,0.538086828393499,positive,看到有家长提到恢复节奏不一，但多数还是按常规处理，感觉医院应对能力这边更具体一些。,positive,positive,positive,support_positive,positive,报道1和seed评论中提到的学校应对和常规治疗路径更具体，而报道2的担忧多来自零散个案。,,0,0,0,0,0,0.0,0.5454545454545454,0.0909090909090908,False,,"{""planned_action"":""post_comment"",""public_comment"":""看到有家长提到恢复节奏不一，但多数还是按常规处理，感觉医院应对能力这边更具体一些。"",""reply_target"":"""",""final_choice"":""report_1"",""credible_choice"":""report_1"",""share_choice"":""report_1"",""comment_choice"":""support_report_1"",""like_choice"":""report_1"",""reason"":""报道1和seed评论中提到的学校应对和常规治疗路径更具体，而报道2的担忧多来自零散个案。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,2,t2_e14,agent_257,post,True,,,t2_e14,t1_e10|t1_e12|t1_e13|t1_e15|t1_e9,0.3524891267647709,positive,我注意到报道1里提到的恢复平稳和学校应对措施更具体，而报道2的担忧多来自零散个案，暂时更倾向于可控。,positive,positive,positive,support_positive,positive,报道1中提到的恢复平稳、常规治疗和学校处置措施更具体，而报道2的风险线索多来自零散个案，缺乏一致性。,,0,0,0,0,0,,0.5,0.0,False,,"{""planned_action"":""post_comment"",""public_comment"":""我注意到报道1里提到的恢复平稳和学校应对措施更具体，而报道2的担忧多来自零散个案，暂时更倾向于可控。"",""reply_target"":"""",""final_choice"":""report_1"",""credible_choice"":""report_1"",""share_choice"":""report_1"",""comment_choice"":""support_report_1"",""like_choice"":""report_1"",""reason"":""报道1中提到的恢复平稳、常规治疗和学校处置措施更具体，而报道2的风险线索多来自零散个案，缺乏一致性。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,2,t2_e15,agent_230,reply,True,,t1_e13,t1_e13,t1_e10|t1_e12|t1_e13|t1_e15|t1_e9,0.3569764870005605,negative,我现在最怕的是报道2中高热反复、恢复时间拖长和交叉感染压力的具体描述更让我警惕，而报道1的可控线索虽然具体但缺乏对恢复难点的详细解释。,negative,negative,negative,support_negative,negative,报道2中高热反复、恢复时间拖长和交叉感染压力的具体描述更让我警惕，而报道1的可控线索虽然具体但缺乏对恢复难点的详细解释。,,1,1,1,1,4,,0.5384615384615384,0.0769230769230768,False,,"{""planned_action"":""reply"",""public_comment"":""我更关注报道2中提到的恢复慢和反复症状，这些具体提醒比常规处理描述更让我担心。"",""reply_target"":""t1_e13"",""final_choice"":""report_2"",""credible_choice"":""report_2"",""share_choice"":""report_2"",""comment_choice"":""support_report_2"",""like_choice"":""report_2"",""reason"":""报道2中高热反复、恢复时间拖长和交叉感染压力的具体描述更让我警惕，而报道1的可控线索虽然具体但缺乏对恢复难点的详细解释。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,2,t2_e2,agent_021,post,True,,,t2_e2,t1_e10|t1_e12|t1_e13|t1_e15|t1_e9,0.5452886277282847,negative,我更担心的是现实里的压力累积，不只是表面上的平稳。,negative,negative,none,support_negative,none,报道2中提到的恢复拖长、高热反复和班级交叉感染压力等具体线索比报道1的常规处理描述更让我感到担忧。,,1,1,0,1,2,2.0,0.5,0.0,False,,"{""planned_action"":""post_comment"",""public_comment"":""看到有家长提到恢复慢和复诊提醒，这些具体案例虽然不普遍但确实值得关注。"",""reply_target"":"""",""final_choice"":""report_2"",""credible_choice"":""report_2"",""share_choice"":""none"",""comment_choice"":""support_report_2"",""like_choice"":""none"",""reason"":""报道2中提到的恢复拖长、高热反复和班级交叉感染压力等具体线索比报道1的常规处理描述更让我感到担忧。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,2,t2_e3,agent_039,reply,True,,t1_e13,t1_e13,t1_e10|t1_e12|t1_e13|t1_e15|t1_e9,0.544903912346229,positive,看到有人说恢复节奏不一，但报道1里提到的具体治疗路径和学校应对措施确实更明确，让我觉得更偏向可应对。,positive,positive,positive,support_positive,positive,报道1中的具体治疗方法和学校应对措施比报道2中的零散个案描述更具体，更具代表性。,,0,0,0,0,0,,0.6666666666666667,-0.3333333333333333,False,,"{""planned_action"":""post_comment"",""public_comment"":""看到有人说恢复节奏不一，但报道1里提到的具体治疗路径和学校应对措施确实更明确，让我觉得更偏向可应对。"",""reply_target"":"""",""final_choice"":""report_1"",""credible_choice"":""report_1"",""share_choice"":""report_1"",""comment_choice"":""support_report_1"",""like_choice"":""report_1"",""reason"":""报道1中的具体治疗方法和学校应对措施比报道2中的零散个案描述更具体，更具代表性。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,2,t2_e4,agent_022,post,True,,,t2_e4,t1_e10|t1_e12|t1_e13|t1_e15|t1_e9,0.5444026389603044,positive,看到报道1里医生和学校的具体应对措施描述更详细，但报道2中提到的恢复反复和门诊压力也是真实存在的。,positive,positive,none,neutral,positive,报道1中关于常规治疗和学校应对的具体描述比报道2中零散的个案更有说服力。,,0,0,0,0,0,,0.75,-0.5,False,,"{""planned_action"":""post_comment"",""public_comment"":""看到报道1里医生和学校的具体应对措施描述更详细，但报道2中提到的恢复反复和门诊压力也是真实存在的。"",""reply_target"":"""",""final_choice"":""report_1"",""credible_choice"":""report_1"",""share_choice"":""none"",""comment_choice"":""neutral"",""like_choice"":""report_1"",""reason"":""报道1中关于常规治疗和学校应对的具体描述比报道2中零散的个案更有说服力。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,2,t2_e5,agent_014,post,True,,,t2_e5,t1_e10|t1_e12|t1_e13|t1_e15|t1_e9,0.5429047517477313,negative,看到讨论中有人提到恢复节奏不一，我也注意到报道2里反复和拖长的恢复案例虽然零散但确实存在，这让我更倾向谨慎一点。,negative,negative,negative,support_negative,negative,报道2中反复高热和恢复拖长的具体案例虽然零散，但与部分可见评论提到的'反复'和'恢复慢'相符，让我更关注这些风险线索。,,1,1,1,1,4,,0.6,-0.1999999999999999,False,,"{""planned_action"":""post_comment"",""public_comment"":""看到讨论中有人提到恢复节奏不一，我也注意到报道2里反复和拖长的恢复案例虽然零散但确实存在，这让我更倾向谨慎一点。"",""reply_target"":"""",""final_choice"":""report_2"",""credible_choice"":""report_2"",""share_choice"":""report_2"",""comment_choice"":""support_report_2"",""like_choice"":""report_2"",""reason"":""报道2中反复高热和恢复拖长的具体案例虽然零散，但与部分可见评论提到的'反复'和'恢复慢'相符，让我更关注这些风险线索。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,2,t2_e6,agent_024,reply,True,,t1_e10,t1_e10,t1_e10|t1_e12|t1_e13|t1_e15|t1_e9,0.5412402173465677,negative,我现在最怕的是报道2中提到的恢复时间拖长、'刚好转又反复'的具体经历比报道1中的笼统恢复描述更引起我的注意。,negative,negative,negative,support_negative,negative,报道2中提到的恢复时间拖长、'刚好转又反复'的具体经历比报道1中的笼统恢复描述更引起我的注意。,,1,1,1,1,4,,0.5,0.0,False,,"{""planned_action"":""post_comment"",""public_comment"":""看到有人提到恢复慢和复诊，这些具体提示确实值得继续关注。"",""reply_target"":"""",""final_choice"":""report_2"",""credible_choice"":""report_2"",""share_choice"":""report_2"",""comment_choice"":""support_report_2"",""like_choice"":""report_2"",""reason"":""报道2中提到的恢复时间拖长、'刚好转又反复'的具体经历比报道1中的笼统恢复描述更引起我的注意。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,2,t2_e7,agent_001,observe,True,,,,t1_e10|t1_e12|t1_e13|t1_e15|t1_e9,0.5404824700497749,,,negative,negative,none,support_negative,none,报道2中提到的恢复时间拖长、'刚好转又反复'的具体经历虽然是个案，但这些重复出现的恢复慢线索让我更倾向于报告2的观点。,,1,1,0,1,2,,0.5,0.0,False,,"{""planned_action"":""reply"",""public_comment"":""我注意到前面有人提到恢复慢和复诊的问题，这些具体提醒确实值得关注。"",""reply_target"":""t1_e13"",""final_choice"":""report_2"",""credible_choice"":""report_2"",""share_choice"":""none"",""comment_choice"":""support_report_2"",""like_choice"":""none"",""reason"":""报道2中提到的恢复时间拖长、'刚好转又反复'的具体经历虽然是个案，但这些重复出现的恢复慢线索让我更倾向于报告2的观点。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,2,t2_e8,agent_045,reply,True,,t1_e13,t1_e13,t1_e10|t1_e12|t1_e13|t1_e15|t1_e9,0.5398437956142341,negative,我更担心的是现实里的压力累积，不只是表面上的平稳。,negative,negative,none,support_negative,negative,报道2中提到的恢复时间拖长、'刚好转又反复'等具体经历更让我担忧，这些具体线索比报道1中的常规治疗描述更触动我。,,1,1,0,1,3,,0.5714285714285714,0.1428571428571428,False,,"{""planned_action"":""reply"",""public_comment"":""我注意到前面有人提到恢复慢和复诊的具体提醒，这些确实值得继续观察。"",""reply_target"":""t1_e13"",""final_choice"":""report_2"",""credible_choice"":""report_2"",""share_choice"":""none"",""comment_choice"":""support_report_2"",""like_choice"":""report_2"",""reason"":""报道2中提到的恢复时间拖长、'刚好转又反复'等具体经历更让我担忧，这些具体线索比报道1中的常规治疗描述更触动我。""}"
